year,split,trades,net_pnl,pf,win_rate,avg_trade,avg_1c,total_1c,pf_1c,max_dd,avg_contracts
2007,TR,18,472887.75450000004,2.924745149755746,33.33333333333333,26271.541916666665,1844.1666666666667,33195.0,2.8936109526525957,67325.775,12.88888888888889
2008,TR,20,57678.08800000005,1.1381283063972851,15.0,2883.9044000000017,-837.25,-16745.0,0.6210681149581353,227954.907,11.7
2009,TR,28,1373645.3685,5.0481385235383955,50.0,49058.76316071429,2651.25,74235.0,4.439193884642113,94267.48600000003,15.571428571428571
2010,TR,26,418150.5674999999,1.768789426402832,38.46153846153847,16082.714134615382,827.1153846153846,21505.0,1.7608349548912081,150641.43899999995,20.692307692307693
2011,TR,22,434843.1585000001,3.3428547024076356,40.909090909090914,19765.598113636366,1286.3636363636363,28300.0,2.974877878576413,62369.813999999955,14.590909090909092
2012,TR,35,-206827.8239999999,0.7417996311125189,31.428571428571427,-5909.366400000001,-201.0,-7035.0,0.8161265028750654,669226.217,22.685714285714287
2013,TR,18,171669.48299999995,1.454653561523655,38.88888888888889,9537.193500000001,530.5555555555555,9550.0,1.9060721062618595,200180.43,30.61111111111111
2014,TR,21,198039.07100000005,1.4709577221809362,28.57142857142857,9430.43195238095,480.0,10080.0,1.4933920704845816,171327.712,21.80952380952381
2015,TR,34,220148.11699999997,1.3983149928502163,17.647058823529413,6474.944617647059,283.52941176470586,9640.0,1.359567325624767,259496.16299999997,21.441176470588236
2016,TR,40,186154.728,1.258973299878459,32.5,4653.868199999999,196.0,7840.0,1.3205233033524122,311249.3819999999,31.225
2017,TR,29,672103.7319999998,2.1507136950030303,27.586206896551722,23175.99075862069,323.1034482758621,9370.0,1.7002989536621824,271597.078,43.93103448275862
2018,TR,24,39026.90599999996,1.0854090252711508,25.0,1626.1210833333334,-6.666666666666667,-160.0,0.9901477832512315,199907.68700000003,28.583333333333332
2019,TE,21,835035.2929999998,3.8028243602415968,47.61904761904761,39763.585380952376,1129.047619047619,23710.0,4.212737127371274,173797.527,38.0
2020,TE,16,333726.0,2.373451357210953,43.75,20857.874999999996,1644.375,26310.0,3.838187702265372,138450.092,23.125
2021,TE,31,355605.89099999995,1.6755202776781541,29.03225806451613,11471.157774193547,441.61290322580646,13690.0,1.7416034669555795,185319.95800000004,26.419354838709676
2022,TE,6,-99941.14500000002,0.3265287527821982,33.33333333333333,-16656.857500000002,-263.3333333333333,-1580.0,0.8276990185387132,69229.10400000002,15.0
