rank_oos,koeff1,koeff2,sl_pts,train_avg_trade,train_trades,train_total_pnl,train_pf,train_max_dd_abs,train_max_dd_pct,oos_avg_trade,oos_trades,oos_total_pnl,oos_pf,oos_max_dd_abs,oos_max_dd_pct,delta_oos_pnl_vs_konkop,delta_oos_pf_vs_konkop,delta_oos_max_dd_pct_vs_konkop
1,0.5,0.5,10.0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
2,0.584215,0.5,10.0,1240.7725321888413,932,1156400.0,1.2241215574548907,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
3,0.565002,0.5,10.0,1240.2255639097743,931,1154650.0,1.223782390449057,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
4,0.525748,0.5,10.0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
5,0.990707,0.5,10.0,1226.4451827242524,903,1107480.0,1.2210936096304725,186290.0,3.7258,1916.927536231884,345,661340.0,1.3879282027217268,190960.0,3.8191999999999995,-11002783.0,-0.19207179727827328,-12.110800000000001
6,0.5,0.716677,10.0,1226.1650485436894,927,1136655.0,1.221181060609746,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
7,0.5,0.741791,10.0,1200.837837837838,925,1110775.0,1.2160721371937224,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
8,0.5,0.747997,10.0,1200.837837837838,925,1110775.0,1.2160721371937224,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
9,0.565706,0.731434,344.694,1190.9806034482758,928,1105230.0,1.2140615981747542,225940.0,4.5188,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
10,0.731299,0.5,10.0,1114.4962486602358,933,1039825.0,1.1996300463066065,252780.0,5.0556,1886.907514450867,346,652870.0,1.3815498801940271,190960.0,3.8191999999999995,-11011253.0,-0.19845011980597294,-12.110800000000001
11,0.834726,0.5,10.0,1138.3244111349036,934,1063195.0,1.2045073776498854,252780.0,5.0556,1886.907514450867,346,652870.0,1.3815498801940271,190960.0,3.8191999999999995,-11011253.0,-0.19845011980597294,-12.110800000000001
12,0.642497,0.5,10.0,1200.069667738478,933,1119665.0,1.2154324657658127,234130.0,4.6826,1886.907514450867,346,652870.0,1.3815498801940271,190960.0,3.8191999999999995,-11011253.0,-0.19845011980597294,-12.110800000000001
