rank_oos,action_idx,tf1,tf2,lookback,policy_q,is_policy_best,train_avg_trade,train_trades,train_total_pnl,train_pf,train_max_dd_abs,train_max_dd_pct,oos_avg_trade,oos_trades,oos_total_pnl,oos_pf,oos_max_dd_abs,oos_max_dd_pct,delta_oos_pnl_vs_konkop,delta_oos_pf_vs_konkop,delta_oos_max_dd_pct_vs_konkop
1,19,150,45,165,83.19351959228516,0,2595.9724137931034,725,1882080.0,1.3074970039922262,223490.0,4.4698,2299.0833333333335,240,551780.0,1.3570790676002744,228580.0,4.5716,-11112343.0,-0.22292093239972566,-11.3584
2,5,120,60,60,-215.13626098632812,0,1238.1576086956522,920,1139105.0,1.1465875844425584,417110.0,8.3422,1627.8963414634147,328,533950.0,1.263272078219838,204270.0,4.0854,-11130173.0,-0.3167279217801622,-11.8446
3,37,180,60,60,95.85987854003906,0,1230.294450736127,883,1086350.0,1.1431029100072583,404120.0,8.0824,1450.9717868338557,319,462860.0,1.2247558743122964,191790.0,3.8358000000000003,-11201263.0,-0.3552441256877037,-12.094199999999999
4,21,150,60,60,610.0489501953125,0,1409.4760312151616,897,1264300.0,1.1678799889788507,356500.0,7.13,1370.2469135802469,324,443960.0,1.2158026491675782,205940.0,4.1188,-11220163.0,-0.3641973508324219,-11.8112
5,36,180,60,30,-238.37869262695312,0,1486.504854368932,927,1377990.0,1.1743631207935223,362900.0,7.258000000000001,1319.487951807229,332,438070.0,1.1982719603157361,195740.0,3.9148,-11226053.0,-0.38172803968426394,-12.0152
6,3,120,45,165,-166.2674560546875,0,2686.5161725067387,742,1993395.0,1.3228026282230345,239260.0,4.7852,1668.0408163265306,245,408670.0,1.245186798418498,262170.0,5.2434,-11255453.0,-0.33481320158150196,-10.686599999999999
7,52,210,60,30,-106.84017944335938,0,1204.138655462185,952,1146340.0,1.1429971215707555,374540.0,7.4908,1089.0489913544668,347,377900.0,1.1664405764419858,229900.0,4.598,-11286223.0,-0.4135594235580142,-11.332
8,56,210,90,30,523.4235229492188,0,1173.869900771775,907,1064700.0,1.207082465384144,183650.0,3.673,1167.0063694267517,314,366440.0,1.234882379334658,235160.0,4.7032,-11297683.0,-0.34511762066534213,-11.2268
9,4,120,60,30,-160.2538299560547,0,1372.466937945066,983,1349135.0,1.164560767954723,401810.0,8.036200000000001,1019.0730337078652,356,362790.0,1.1552142383468458,224580.0,4.4916,-11301333.0,-0.4247857616531543,-11.4384
10,24,150,90,30,-459.4001159667969,0,1233.6413641364136,909,1121380.0,1.2169372304317252,188650.0,3.773,1069.0566037735848,318,339960.0,1.2124590655700822,248580.0,4.9716000000000005,-11324163.0,-0.36754093442991786,-10.9584
11,35,180,45,165,325.68731689453125,0,2349.813486370158,697,1637820.0,1.2740653478402013,269100.0,5.382,1422.1030042918455,233,331350.0,1.2100435490925687,292070.0,5.8414,-11332773.0,-0.36995645090743134,-10.0886
12,51,210,45,165,8.522010803222656,0,2319.0603085554,713,1653490.0,1.2761224063791592,289430.0,5.7886,1369.787234042553,235,321900.0,1.2017031035584713,284210.0,5.6842,-11342223.0,-0.37829689644152875,-10.2458
